date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2021-02-01,서울,170.172851741178,500007,서울,서울,2021년 2월,202102,1.3869204010520164,25.76531921833236,0.5,0.85,863052.5,25.76531921833236,11.785213956577657,0.5,0.9,10281640.0,9534483.408719348,-9.604235940633654,,,,,,,
2021-03-01,서울,171.056146530636,500007,서울,서울,2021년 3월,202103,0.5190574057026609,25.446565288882983,0.5,0.86,868519.9,25.446565288882983,11.26241969529016,0.5,0.9,13154816.0,9467815.057549527,-9.713010105292675,,,,,,,
2021-04-01,서울,172.052127844742,500007,서울,서울,2021년 4월,202104,0.5822540343077387,27.22519723667225,0.5,0.84,881386.1,27.22519723667225,12.174183520316584,0.5,0.87,12006327.0,9409983.835020512,-9.661940494184007,,,,,,,
2021-05-01,서울,175.666428552841,500007,서울,서울,2021년 5월,202105,2.100700963931424,29.28382078919174,0.5,0.83,877599.4,29.28382078919174,11.166657884123122,0.5,0.85,12571458.0,9362174.36755277,-9.4389653930116,,,,,,,
2021-06-01,서울,179.925482862902,500007,서울,서울,2021년 6월,202106,2.424512381305588,27.627057511689166,0.5,0.94,880906.2,27.627057511689166,10.810369181222912,0.5,0.86,10969332.0,9325749.181693528,-9.035252729351772,,,,,,,
2021-07-01,서울,183.924222990322,500007,서울,서울,2021년 7월,202107,2.222442348795539,24.096939428443665,0.5,0.97,889869.0,24.096939428443665,11.118547853878823,0.5,0.84,10615761.0,9302433.321379002,-8.443136650630523,,,,,,,
2021-08-01,서울,187.449857404758,500007,서울,서울,2021년 8월,202108,1.9168950979455923,22.532497685087584,0.75,1.03,895458.4,22.532497685087584,10.294264727401004,0.5,0.83,9072363.0,9294141.367742546,-7.656361083295882,,,,,,,
2021-09-01,서울,190.394667010131,500007,서울,서울,2021년 9월,202109,1.5709852470115804,22.76796114406685,0.75,1.17,901963.8,22.76796114406685,9.867094459041192,0.5,0.94,11496673.0,9302680.304590179,-6.673165856651686,,,,,,,
2021-10-01,서울,190.841676615905,500007,서울,서울,2021년 10월,202110,0.2347805286742721,22.051743781995924,0.75,1.29,907394.6,22.051743781995924,9.210952789992977,0.5,0.97,11721240.0,9329472.640106287,-5.49465616929824,,,,,,,
2021-11-01,서울,187.87028748739,500007,서울,서울,2021년 11월,202111,-1.5569917332550642,17.921636392908024,1.0,1.57,910489.9,17.921636392908024,7.892293264578543,0.75,1.03,11543841.0,9375274.606346706,-4.129122070839964,,,,,,,
